country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Indonesia,Aceh,Aceh Barat,0,281208,281208,281208,8218,1649,718,402,1121,2504,1219,2125,4472,4367,2057,4200,4940,7527,6329,2552,3408,4644,2572,1674,1522,3174,2534,2888,4908
Indonesia,Aceh,Aceh Barat,10,281208,260915,256873,8218,1648,717,402,1115,2491,1217,2124,4469,4365,2056,4188,4783,6615,5975,2508,3301,4440,2482,1607,1426,3071,2425,2784,4739
Indonesia,Aceh,Aceh Barat,15,281208,259285,254395,8218,1647,717,402,1114,2489,1216,2123,4469,4364,2056,4185,4772,6579,5957,2502,3291,4420,2474,1601,1415,3059,2413,2771,4716
Indonesia,Aceh,Aceh Barat,20,281208,258300,253669,8218,1647,717,401,1113,2486,1216,2123,4469,4363,2056,4183,4763,6549,5938,2497,3282,4401,2466,1597,1407,3048,2405,2759,4695
Indonesia,Aceh,Aceh Barat,25,281208,257567,252293,8218,1647,717,401,1112,2485,1216,2123,4468,4362,2056,4182,4759,6532,5926,2494,3277,4388,2461,1594,1401,3042,2401,2753,4681
Indonesia,Aceh,Aceh Barat,30,281208,256149,250457,8218,1647,717,401,1112,2482,1215,2123,4468,4361,2056,4179,4748,6503,5904,2489,3266,4364,2450,1588,1389,3027,2389,2739,4656
Indonesia,Aceh,Aceh Barat,50,281208,249561,240629,8218,1645,715,400,1099,2446,1209,2118,4458,4333,2051,4157,4665,6309,5746,2460,3202,4218,2386,1551,1335,2951,2332,2678,4532
Indonesia,Aceh,Aceh Barat,75,281208,231203,219250,8218,1622,709,390,1037,2250,1169,2046,4336,4116,2009,4015,4245,5277,5057,2291,2925,3731,2137,1414,1190,2672,2063,2405,4037
Indonesia,Aceh,Aceh Barat Daya,0,189314,189314,189314,2994,708,562,2963,474,361,639,220,729,7364,1744,2426,1653,1151,1451,943,1139,1152,1029,885,827,1264,1138,1185,1293
Indonesia,Aceh,Aceh Barat Daya,10,189314,179294,175953,2994,708,562,2962,474,361,639,220,729,7362,1744,2425,1651,1145,1433,931,1110,1120,1011,871,800,1218,1104,1131,1261
Indonesia,Aceh,Aceh Barat Daya,15,189314,178624,174557,2994,708,562,2962,474,361,639,220,729,7362,1744,2425,1651,1145,1432,930,1108,1118,1010,869,798,1215,1102,1128,1258
Indonesia,Aceh,Aceh Barat Daya,20,189314,178234,174119,2994,708,562,2961,474,360,639,220,729,7361,1744,2425,1651,1145,1431,930,1107,1114,1008,868,795,1211,1099,1125,1256
Indonesia,Aceh,Aceh Barat Daya,25,189314,177985,173120,2994,708,562,2961,474,360,639,220,729,7361,1744,2424,1651,1144,1430,930,1106,1113,1007,867,794,1209,1097,1122,1255
Indonesia,Aceh,Aceh Barat Daya,30,189314,177521,172411,2994,708,562,2961,474,360,639,220,729,7361,1744,2424,1651,1144,1428,929,1104,1111,1006,866,792,1206,1094,1118,1251
Indonesia,Aceh,Aceh Barat Daya,50,189314,175239,167990,2994,707,561,2960,472,360,638,219,728,7355,1744,2421,1650,1140,1420,921,1089,1095,995,861,780,1185,1081,1101,1235
Indonesia,Aceh,Aceh Barat Daya,75,189314,170015,159700,2994,700,558,2939,460,354,629,214,722,7281,1732,2398,1635,1120,1367,893,1029,1017,909,820,739,1101,1003,1018,1165
Indonesia,Aceh,Aceh Besar,0,290552,290552,290552,5161,580,264,66,1151,893,319,633,157,1698,529,2265,363,738,2042,622,1382,2707,1108,1244,1668,1109,1243,2038,1741
Indonesia,Aceh,Aceh Besar,10,290552,211755,209697,5161,577,263,65,1144,885,316,627,157,1690,528,2248,360,519,1831,554,1124,2280,931,983,1362,946,1066,1469,1333
Indonesia,Aceh,Aceh Besar,15,290552,207634,205281,5161,576,263,65,1142,884,316,626,157,1688,527,2247,359,511,1816,548,1096,2239,913,964,1328,929,1043,1424,1295
Indonesia,Aceh,Aceh Besar,20,290552,205208,204173,5161,576,263,65,1141,882,315,625,157,1686,526,2245,359,503,1802,544,1078,2209,903,952,1310,919,1028,1392,1272
Indonesia,Aceh,Aceh Besar,25,290552,203399,202411,5161,575,263,65,1140,881,315,624,157,1686,526,2243,359,499,1795,543,1066,2195,895,944,1301,912,1019,1370,1259
Indonesia,Aceh,Aceh Besar,30,290552,200000,199887,5161,575,263,65,1138,881,315,623,157,1684,526,2241,358,490,1781,537,1043,2150,873,924,1274,899,1000,1331,1224
Indonesia,Aceh,Aceh Besar,50,290552,190304,187957,5161,565,260,65,1123,857,308,612,155,1670,522,2221,355,463,1715,516,952,2017,815,863,1177,846,939,1199,1114
Indonesia,Aceh,Aceh Besar,75,290552,170789,166689,5161,531,247,61,1028,732,277,565,148,1591,494,2098,328,374,1477,426,697,1610,657,695,927,704,761,920,881
Indonesia,Aceh,Aceh Jaya,0,386638,386638,386638,7523,1495,541,308,2162,5052,420,1918,3126,3161,780,3060,3226,3340,4097,1524,2981,4217,2642,1762,2277,2848,2919,2724,2893
Indonesia,Aceh,Aceh Jaya,10,386638,376039,372130,7523,1494,541,308,2141,5011,419,1915,3121,3158,780,3052,3209,3222,4020,1492,2845,4053,2555,1692,2141,2735,2818,2635,2801
Indonesia,Aceh,Aceh Jaya,15,386638,375242,370822,7523,1494,541,308,2135,5001,418,1915,3121,3158,779,3051,3207,3215,4011,1489,2834,4041,2547,1687,2129,2725,2806,2628,2792
Indonesia,Aceh,Aceh Jaya,20,386638,374570,370457,7523,1494,541,308,2131,4990,417,1915,3120,3158,779,3050,3205,3205,4004,1488,2822,4025,2537,1682,2118,2709,2795,2617,2783
Indonesia,Aceh,Aceh Jaya,25,386638,374168,369780,7523,1494,541,307,2127,4982,417,1915,3120,3158,779,3048,3203,3197,4001,1487,2814,4015,2531,1678,2109,2703,2789,2613,2775
Indonesia,Aceh,Aceh Jaya,30,386638,373388,368857,7523,1494,541,307,2124,4978,417,1914,3120,3157,779,3047,3200,3186,3991,1485,2798,3995,2518,1672,2093,2688,2776,2599,2765
Indonesia,Aceh,Aceh Jaya,50,386638,368768,363166,7523,1492,540,307,2071,4870,415,1911,3114,3152,777,3035,3180,3107,3935,1469,2696,3857,2447,1627,2011,2634,2715,2541,2691
Indonesia,Aceh,Aceh Jaya,75,386638,354694,349824,7523,1472,536,303,1829,4388,397,1883,3063,3109,765,2972,3072,2823,3742,1386,2358,3421,2200,1461,1741,2395,2393,2280,2416
Indonesia,Aceh,Aceh Selatan,0,421664,421664,421664,7452,1089,534,286,179,369,542,604,1371,2570,1483,2196,2693,3088,4451,2450,2812,2844,2812,1087,1450,1860,3521,3393,3270
Indonesia,Aceh,Aceh Selatan,10,421664,406066,406021,7452,1085,533,285,178,368,541,603,1368,2568,1481,2182,2668,3003,4351,2416,2679,2718,2728,1030,1396,1776,3418,3288,3142
Indonesia,Aceh,Aceh Selatan,15,421664,404831,404339,7452,1085,532,284,178,367,540,603,1368,2567,1480,2178,2665,2997,4342,2413,2669,2708,2719,1024,1391,1770,3410,3280,3130
Indonesia,Aceh,Aceh Selatan,20,421664,404080,404007,7452,1084,532,284,178,367,540,603,1368,2567,1480,2176,2660,2992,4336,2411,2657,2697,2712,1020,1388,1765,3401,3275,3120
Indonesia,Aceh,Aceh Selatan,25,421664,403472,403136,7452,1084,532,284,178,367,540,603,1367,2567,1479,2174,2658,2990,4333,2410,2650,2692,2707,1018,1384,1762,3396,3273,3114
Indonesia,Aceh,Aceh Selatan,30,421664,402527,401978,7452,1083,532,284,178,367,540,602,1367,2566,1478,2171,2655,2979,4325,2407,2637,2681,2699,1011,1381,1758,3386,3266,3102
Indonesia,Aceh,Aceh Selatan,50,421664,397512,395756,7452,1074,529,280,176,364,537,599,1363,2559,1471,2155,2627,2938,4271,2391,2559,2624,2642,984,1357,1720,3339,3229,3046
Indonesia,Aceh,Aceh Selatan,75,421664,384682,383440,7452,1027,512,266,166,350,514,577,1325,2488,1412,2066,2462,2616,3903,2291,2260,2397,2375,885,1250,1564,3103,3043,2827
Indonesia,Aceh,Aceh Singkil,0,191544,191544,191544,13819,2291,909,2849,3256,3831,4339,3728,7844,9777,5705,3272,5193,2563,2549,1436,1279,1388,3359,1393,2343,1543,1953,1542,2064
Indonesia,Aceh,Aceh Singkil,10,191544,165159,150441,13819,2265,906,2841,3243,3821,4331,3714,7811,9743,5695,3233,5077,2407,2462,1400,1205,1306,3026,1259,2143,1418,1672,1358,1598
Indonesia,Aceh,Aceh Singkil,15,191544,164173,148121,13819,2263,906,2841,3242,3820,4330,3711,7805,9732,5694,3231,5073,2401,2457,1398,1201,1302,3005,1253,2129,1409,1656,1349,1581
Indonesia,Aceh,Aceh Singkil,20,191544,163424,147291,13819,2260,905,2840,3241,3818,4329,3708,7800,9728,5693,3229,5067,2397,2452,1395,1198,1300,2991,1248,2118,1402,1641,1341,1567
Indonesia,Aceh,Aceh Singkil,25,191544,162969,145820,13819,2260,905,2840,3240,3817,4329,3707,7799,9725,5692,3229,5065,2395,2450,1394,1196,1299,2983,1245,2112,1397,1635,1336,1557
Indonesia,Aceh,Aceh Singkil,30,191544,162175,144721,13819,2258,904,2839,3239,3817,4328,3706,7797,9718,5691,3228,5060,2386,2444,1391,1191,1293,2963,1235,2099,1387,1621,1326,1537
Indonesia,Aceh,Aceh Singkil,50,191544,157869,137182,13819,2245,901,2828,3223,3805,4313,3691,7763,9671,5680,3217,5027,2356,2411,1375,1164,1270,2854,1204,2036,1343,1542,1270,1455
Indonesia,Aceh,Aceh Singkil,75,191544,144677,121626,13819,2173,878,2756,3129,3732,4214,3577,7597,9499,5599,3164,4907,2211,2283,1305,1053,1176,2523,1061,1783,1144,1299,1111,1111
Indonesia,Aceh,Aceh Tamiang,0,217595,217595,217595,8525,1400,882,688,1008,815,1938,2450,1756,2737,3486,1899,3041,4374,3737,2333,3623,2446,3210,1994,2794,2469,1829,4234,4279
Indonesia,Aceh,Aceh Tamiang,10,217595,185932,178119,8525,1397,878,685,1005,813,1935,2445,1750,2730,3483,1895,3024,4306,3597,2260,3508,2350,3007,1888,2623,2245,1699,3880,3759
Indonesia,Aceh,Aceh Tamiang,15,217595,182964,175365,8525,1396,876,685,1003,812,1935,2443,1749,2726,3482,1893,3023,4302,3586,2254,3497,2341,2990,1878,2609,2228,1686,3852,3716
Indonesia,Aceh,Aceh Tamiang,20,217595,181751,174352,8525,1394,875,685,1003,811,1934,2443,1747,2725,3482,1892,3021,4297,3578,2248,3487,2335,2975,1871,2599,2213,1676,3828,3687
Indonesia,Aceh,Aceh Tamiang,25,217595,181104,173221,8525,1394,874,685,1003,811,1934,2442,1747,2725,3482,1891,3020,4294,3574,2244,3481,2332,2968,1868,2592,2207,1671,3818,3673
Indonesia,Aceh,Aceh Tamiang,30,217595,179547,171461,8525,1393,873,684,1003,811,1933,2442,1745,2722,3480,1891,3018,4290,3561,2234,3469,2322,2951,1860,2580,2191,1657,3788,3632
Indonesia,Aceh,Aceh Tamiang,50,217595,172423,162762,8525,1384,865,682,998,807,1923,2432,1734,2703,3472,1885,2998,4266,3506,2200,3392,2275,2868,1809,2505,2109,1599,3661,3421
Indonesia,Aceh,Aceh Tamiang,75,217595,146750,138738,8525,1330,803,650,942,771,1799,2322,1629,2544,3373,1836,2869,4068,3192,1983,3004,2016,2487,1543,2126,1663,1266,2839,2537
Indonesia,Aceh,Aceh Tengah,0,470713,470713,470713,6773,966,810,278,858,944,1511,622,269,1674,913,730,953,1098,1888,1988,4205,3190,3799,3171,2303,1986,908,1792,2810
Indonesia,Aceh,Aceh Tengah,10,470713,432798,432325,6773,963,799,277,848,940,1502,621,268,1670,909,726,940,1053,1769,1946,4057,3102,3683,3100,2212,1933,872,1677,2626
Indonesia,Aceh,Aceh Tengah,15,470713,430222,429469,6773,961,794,277,843,939,1500,621,268,1669,907,726,940,1050,1758,1940,4044,3093,3672,3090,2201,1927,867,1663,2601
Indonesia,Aceh,Aceh Tengah,20,470713,428802,428501,6773,961,793,276,841,939,1497,621,267,1668,906,725,939,1045,1751,1937,4031,3084,3660,3082,2192,1919,865,1654,2587
Indonesia,Aceh,Aceh Tengah,25,470713,427549,426922,6773,959,793,276,840,938,1497,621,267,1667,905,724,938,1043,1744,1934,4024,3079,3653,3078,2188,1914,863,1643,2574
Indonesia,Aceh,Aceh Tengah,30,470713,425517,425304,6773,959,792,276,838,938,1496,621,267,1667,905,724,936,1039,1737,1931,4013,3072,3643,3072,2181,1911,860,1632,2550
Indonesia,Aceh,Aceh Tengah,50,470713,415295,414855,6773,951,770,275,812,928,1482,616,263,1651,895,720,927,1016,1686,1903,3924,3009,3569,3008,2125,1871,843,1561,2442
Indonesia,Aceh,Aceh Tengah,75,470713,387150,389050,6773,886,688,259,693,867,1377,587,240,1549,834,688,878,935,1522,1798,3621,2792,3303,2811,1959,1737,774,1357,2135
Indonesia,Aceh,Aceh Tenggara,0,418234,418234,418234,3020,903,478,425,709,901,735,1543,1637,2845,4324,896,1793,458,2364,835,2129,1253,1556,649,1115,948,1321,567,942
Indonesia,Aceh,Aceh Tenggara,10,418234,399658,395050,3020,891,474,423,703,895,732,1532,1630,2832,4307,893,1746,436,2166,802,1953,1160,1319,560,935,876,1164,515,850
Indonesia,Aceh,Aceh Tenggara,15,418234,398904,393670,3020,888,474,422,702,894,731,1529,1629,2831,4303,893,1743,435,2155,800,1943,1156,1308,556,925,870,1156,512,845
Indonesia,Aceh,Aceh Tenggara,20,418234,398450,393140,3020,887,473,422,702,893,731,1528,1628,2829,4301,892,1741,435,2148,799,1936,1152,1300,552,919,868,1149,509,842
Indonesia,Aceh,Aceh Tenggara,25,418234,398126,392418,3020,886,472,422,701,893,731,1527,1627,2828,4299,892,1740,435,2144,798,1932,1150,1295,551,915,866,1146,509,839
Indonesia,Aceh,Aceh Tenggara,30,418234,397472,391490,3020,884,471,421,700,892,730,1526,1626,2827,4296,891,1739,434,2132,794,1919,1145,1285,545,903,863,1137,503,832
Indonesia,Aceh,Aceh Tenggara,50,418234,394431,387128,3020,871,466,418,693,884,724,1505,1615,2812,4269,886,1723,431,2097,788,1886,1129,1254,529,873,847,1105,492,811
Indonesia,Aceh,Aceh Tenggara,75,418234,386458,377902,3020,786,435,401,652,836,691,1396,1527,2695,4076,856,1641,407,1923,737,1729,1048,1145,472,765,771,987,435,721
Indonesia,Aceh,Aceh Timur,0,542688,542688,542688,11416,1012,1142,652,1297,1559,736,1134,1140,5901,3663,4840,6899,5602,11184,8274,9436,5075,6166,3369,3667,3024,2194,5415,6349
Indonesia,Aceh,Aceh Timur,10,542688,468394,453445,11416,1009,1132,651,1289,1553,731,1124,1135,5888,3653,4824,6842,5441,10505,7956,8992,4802,5615,3195,3382,2754,2014,4820,5676
Indonesia,Aceh,Aceh Timur,15,542688,460688,445739,11416,1007,1128,651,1287,1551,730,1122,1134,5885,3651,4821,6833,5426,10433,7928,8950,4777,5569,3175,3351,2730,1996,4767,5614
Indonesia,Aceh,Aceh Timur,20,542688,457720,443949,11416,1006,1127,650,1286,1550,729,1121,1133,5881,3649,4819,6828,5412,10372,7894,8916,4756,5531,3158,3331,2710,1980,4725,5562
Indonesia,Aceh,Aceh Timur,25,542688,456056,441510,11416,1006,1126,650,1284,1549,729,1120,1133,5879,3648,4818,6822,5405,10341,7879,8898,4746,5509,3150,3322,2699,1975,4701,5537
Indonesia,Aceh,Aceh Timur,30,542688,451960,437302,11416,1005,1124,650,1283,1547,727,1119,1132,5876,3645,4814,6815,5383,10245,7831,8848,4707,5447,3125,3294,2665,1955,4647,5469
Indonesia,Aceh,Aceh Timur,50,542688,438911,413667,11416,999,1111,649,1269,1538,719,1105,1125,5839,3623,4785,6762,5319,9948,7686,8679,4609,5273,3049,3192,2575,1891,4463,5254
Indonesia,Aceh,Aceh Timur,75,542688,383886,364411,11416,955,1009,632,1165,1451,664,1026,1069,5571,3442,4482,6221,4553,7842,6332,7371,3803,4063,2511,2574,1920,1483,3190,3916
Indonesia,Aceh,Aceh Utara,0,271165,271165,271165,7815,460,438,256,756,905,1002,765,1603,3099,2740,2005,2105,1208,4166,3180,5717,4175,5197,3364,4014,3643,1970,4472,5071
Indonesia,Aceh,Aceh Utara,10,271165,199598,195330,7815,458,434,256,750,901,994,759,1599,3092,2737,2002,2092,1144,3851,3066,5449,4071,5040,3269,3816,3532,1863,4193,4578
Indonesia,Aceh,Aceh Utara,15,271165,195465,190418,7815,457,434,255,748,901,993,758,1599,3090,2736,2001,2089,1139,3818,3056,5424,4063,5025,3258,3801,3522,1852,4165,4536
Indonesia,Aceh,Aceh Utara,20,271165,193685,189162,7815,457,433,255,747,900,991,757,1598,3088,2736,2000,2087,1134,3795,3048,5405,4056,5012,3251,3791,3513,1847,4146,4513
Indonesia,Aceh,Aceh Utara,25,271165,192479,187006,7815,457,433,255,747,900,991,757,1597,3087,2735,1999,2086,1133,3784,3043,5397,4054,5007,3249,3785,3509,1843,4137,4500
Indonesia,Aceh,Aceh Utara,30,271165,189693,183968,7815,457,432,255,746,898,990,755,1595,3085,2733,1998,2085,1127,3752,3031,5372,4043,4990,3239,3768,3496,1833,4110,4459
Indonesia,Aceh,Aceh Utara,50,271165,179731,170014,7815,455,428,253,738,895,977,749,1587,3069,2723,1991,2069,1102,3638,2978,5267,4002,4913,3196,3706,3456,1793,4017,4327
Indonesia,Aceh,Aceh Utara,75,271165,150417,138913,7815,441,401,237,682,839,894,694,1512,2859,2564,1872,1943,972,3060,2705,4735,3733,4472,2966,3292,3126,1577,3521,3682
Indonesia,Aceh,Banda Aceh,0,5905,5905,5905,106,0,0,0,4,23,6,2,0,7,1,5,1,0,0,1,1,5,1,1,2,3,1,5,2
Indonesia,Aceh,Banda Aceh,10,5905,418,243,106,0,0,0,3,23,6,2,0,6,1,5,1,0,0,0,0,2,1,1,0,1,1,1,0
Indonesia,Aceh,Banda Aceh,15,5905,329,157,106,0,0,0,3,23,6,2,0,6,1,5,1,0,0,0,0,2,1,1,0,1,1,1,0
Indonesia,Aceh,Banda Aceh,20,5905,295,146,106,0,0,0,3,23,6,2,0,6,1,5,1,0,0,0,0,2,1,1,0,1,1,1,0
Indonesia,Aceh,Banda Aceh,25,5905,265,129,106,0,0,0,3,23,6,2,0,6,1,5,1,0,0,0,0,2,1,1,0,1,1,1,0
Indonesia,Aceh,Banda Aceh,30,5905,240,110,106,0,0,0,3,23,6,2,0,6,1,5,1,0,0,0,0,2,1,1,0,1,1,1,0
Indonesia,Aceh,Banda Aceh,50,5905,154,62,106,0,0,0,3,22,5,2,0,5,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0
Indonesia,Aceh,Banda Aceh,75,5905,69,21,106,0,0,0,2,15,3,1,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Aceh,Bener Meriah,0,193067,193067,193067,2648,313,248,50,593,237,1016,391,232,861,755,729,870,557,1174,918,2636,1474,2138,1408,1339,1194,695,1307,1545
Indonesia,Aceh,Bener Meriah,10,193067,182424,179094,2648,312,245,50,588,235,1013,389,231,858,751,727,865,537,1092,855,2504,1410,2003,1353,1292,1149,647,1212,1400
Indonesia,Aceh,Bener Meriah,15,193067,181127,177614,2648,312,245,50,587,235,1013,388,230,857,750,727,864,536,1082,849,2490,1401,1986,1346,1285,1140,639,1196,1375
Indonesia,Aceh,Bener Meriah,20,193067,180377,177139,2648,312,245,50,587,235,1011,388,230,857,749,727,863,535,1074,844,2478,1395,1973,1340,1280,1135,635,1187,1362
Indonesia,Aceh,Bener Meriah,25,193067,179733,176324,2648,312,245,50,587,234,1011,388,230,856,749,727,862,534,1066,841,2469,1391,1963,1336,1276,1130,632,1179,1352
Indonesia,Aceh,Bener Meriah,30,193067,178829,175630,2648,311,245,50,586,234,1011,388,230,855,748,727,862,532,1058,836,2459,1384,1949,1331,1272,1126,626,1168,1336
Indonesia,Aceh,Bener Meriah,50,193067,174157,170757,2648,307,241,49,574,230,1001,384,225,846,740,723,855,520,1016,808,2384,1343,1879,1298,1242,1094,597,1113,1265
Indonesia,Aceh,Bener Meriah,75,193067,157729,157954,2648,272,220,42,491,207,915,358,201,771,677,680,796,450,843,667,1991,1158,1607,1144,1113,973,514,937,1052
Indonesia,Aceh,Bireuen,0,176994,176994,176994,7163,302,225,15,158,117,284,309,581,929,841,821,1126,1147,4287,2041,2254,1547,1537,1276,1148,1350,1382,2525,2878
Indonesia,Aceh,Bireuen,10,176994,136090,132066,7163,301,224,15,156,115,280,305,578,919,837,814,1103,1053,3976,1935,1927,1308,1300,1095,958,1125,1172,2073,2231
Indonesia,Aceh,Bireuen,15,176994,133331,129323,7163,301,224,15,155,115,280,304,577,917,836,813,1099,1044,3943,1922,1895,1274,1274,1074,930,1093,1139,2015,2169
Indonesia,Aceh,Bireuen,20,176994,132077,128644,7163,301,224,15,155,114,279,303,576,915,835,813,1096,1039,3920,1914,1876,1261,1252,1060,919,1078,1124,1980,2133
Indonesia,Aceh,Bireuen,25,176994,131166,127420,7163,301,223,15,155,114,279,303,576,914,835,813,1095,1036,3912,1910,1866,1252,1245,1054,915,1068,1117,1965,2115
Indonesia,Aceh,Bireuen,30,176994,128697,125915,7163,301,223,15,154,114,279,302,575,912,834,812,1092,1027,3876,1898,1834,1219,1215,1030,887,1040,1089,1912,2060
Indonesia,Aceh,Bireuen,50,176994,120957,118228,7163,300,221,14,148,110,273,295,569,895,826,804,1073,987,3749,1842,1725,1128,1129,960,815,960,1010,1758,1900
Indonesia,Aceh,Bireuen,75,176994,104165,101049,7163,290,207,11,125,94,249,262,534,785,772,746,1003,869,3340,1644,1395,876,895,777,614,743,803,1347,1420
Indonesia,Aceh,Gayo Lues,0,544968,544968,544968,3265,985,777,340,1124,466,854,2594,522,1788,920,724,959,1060,2357,1275,2846,1754,3142,1774,1579,1440,892,1047,1257
Indonesia,Aceh,Gayo Lues,10,544968,529669,528968,3265,983,776,340,1121,465,854,2591,521,1784,920,721,946,997,2161,1216,2687,1665,2984,1697,1478,1346,830,968,1165
Indonesia,Aceh,Gayo Lues,15,544968,528163,527135,3265,983,776,340,1119,465,854,2590,521,1784,920,720,944,990,2149,1212,2672,1657,2976,1691,1466,1337,823,958,1153
Indonesia,Aceh,Gayo Lues,20,544968,527181,526304,3265,983,775,339,1117,465,853,2589,521,1782,920,720,943,986,2131,1208,2660,1652,2964,1684,1457,1331,819,953,1145
Indonesia,Aceh,Gayo Lues,25,544968,526415,525008,3265,982,775,339,1117,465,852,2589,521,1782,919,720,941,983,2122,1206,2651,1648,2955,1680,1450,1325,815,949,1137
Indonesia,Aceh,Gayo Lues,30,544968,525178,523920,3265,981,775,339,1117,465,852,2589,521,1781,919,719,940,976,2109,1203,2638,1641,2945,1675,1442,1316,808,940,1129
Indonesia,Aceh,Gayo Lues,50,544968,517723,515871,3265,975,771,339,1100,463,848,2580,518,1768,916,713,925,943,2024,1173,2548,1600,2863,1630,1383,1258,761,885,1063
Indonesia,Aceh,Gayo Lues,75,544968,495487,493255,3265,924,735,331,996,442,798,2524,498,1670,880,676,872,819,1686,1059,2210,1429,2576,1425,1187,1050,601,663,843
Indonesia,Aceh,Langsa,0,19660,19660,19660,185,31,64,46,95,16,24,41,203,389,475,384,394,150,224,224,667,631,460,79,50,56,33,417,175
Indonesia,Aceh,Langsa,10,19660,11755,11017,185,30,63,45,95,16,24,41,203,388,474,383,390,146,207,214,641,587,415,72,46,53,30,396,161
Indonesia,Aceh,Langsa,15,19660,10955,10363,185,30,63,45,95,16,24,41,203,388,474,383,390,145,205,213,637,580,409,70,44,52,28,392,160
Indonesia,Aceh,Langsa,20,19660,10761,10243,185,30,63,45,95,16,24,41,203,388,474,383,390,145,204,212,635,575,404,70,44,52,28,390,159
Indonesia,Aceh,Langsa,25,19660,10657,10037,185,30,63,45,95,16,24,41,203,388,474,383,390,144,204,211,635,573,402,69,44,52,28,389,159
Indonesia,Aceh,Langsa,30,19660,10431,9814,185,30,63,44,95,16,24,41,203,388,474,383,389,144,201,210,630,566,397,68,43,52,27,388,158
Indonesia,Aceh,Langsa,50,19660,9709,8768,185,30,62,43,93,16,23,40,203,386,473,382,386,143,198,205,622,555,382,64,41,50,25,381,155
Indonesia,Aceh,Langsa,75,19660,7731,6729,185,29,57,39,88,15,22,37,200,378,468,374,364,128,171,168,550,472,306,45,29,41,16,328,118
Indonesia,Aceh,Lhokseumawe,0,13826,13826,13826,410,2,5,1,6,12,7,16,14,50,20,24,24,16,72,41,101,38,84,52,79,41,26,62,112
Indonesia,Aceh,Lhokseumawe,10,13826,5354,4934,410,2,4,1,5,11,7,15,13,49,19,23,22,10,52,32,79,26,56,35,52,33,20,45,72
Indonesia,Aceh,Lhokseumawe,15,13826,4824,4441,410,2,4,1,5,11,7,15,13,49,19,23,22,10,49,31,77,23,53,34,49,32,20,44,69
Indonesia,Aceh,Lhokseumawe,20,13826,4622,4325,410,2,4,1,5,11,7,15,13,48,19,23,22,9,48,31,76,23,51,32,48,31,19,42,68
Indonesia,Aceh,Lhokseumawe,25,13826,4454,4134,410,2,4,1,5,11,7,15,13,48,19,23,22,9,47,30,75,23,50,32,47,31,19,41,66
Indonesia,Aceh,Lhokseumawe,30,13826,4094,3917,410,2,4,1,5,11,7,15,13,48,19,22,21,9,45,29,70,22,46,30,45,29,18,38,61
Indonesia,Aceh,Lhokseumawe,50,13826,2952,2877,410,2,4,1,4,10,6,13,11,44,19,20,19,6,36,25,55,15,35,23,32,24,15,31,48
Indonesia,Aceh,Lhokseumawe,75,13826,1206,1325,410,1,2,0,2,6,3,6,5,22,12,11,12,2,17,11,21,6,18,11,12,12,7,15,21
Indonesia,Aceh,Nagan Raya,0,342388,342388,342388,21816,2558,826,1138,1082,3040,1556,2162,3048,11525,5956,11148,7231,7003,4963,2913,4306,5848,4082,2380,1874,3465,3386,3667,5482
Indonesia,Aceh,Nagan Raya,10,342388,316411,302016,21816,2552,824,1133,1080,3031,1551,2158,3043,11500,5950,11125,7130,6670,4740,2799,4112,5612,3921,2216,1767,3228,3216,3484,5205
Indonesia,Aceh,Nagan Raya,15,342388,314475,298777,21816,2548,823,1133,1078,3028,1550,2157,3041,11494,5947,11119,7122,6634,4718,2786,4092,5586,3904,2196,1756,3201,3198,3462,5171
Indonesia,Aceh,Nagan Raya,20,342388,313040,297343,21816,2547,823,1132,1077,3025,1549,2156,3039,11487,5945,11114,7114,6606,4696,2778,4078,5554,3888,2186,1747,3179,3182,3440,5140
Indonesia,Aceh,Nagan Raya,25,342388,312340,295413,21816,2545,823,1132,1077,3024,1548,2156,3038,11482,5943,11113,7111,6595,4689,2774,4073,5542,3881,2179,1743,3170,3176,3432,5123
Indonesia,Aceh,Nagan Raya,30,342388,310391,293444,21816,2543,823,1131,1076,3023,1547,2155,3037,11473,5939,11106,7101,6548,4661,2763,4049,5513,3860,2160,1729,3137,3160,3403,5078
Indonesia,Aceh,Nagan Raya,50,342388,302515,280476,21816,2523,818,1123,1066,3000,1537,2149,3021,11407,5914,11060,7021,6381,4533,2707,3943,5355,3765,2077,1672,3017,3093,3307,4903
Indonesia,Aceh,Nagan Raya,75,342388,277890,252588,21816,2415,795,1080,1014,2886,1468,2073,2926,10884,5713,10602,6498,5154,3896,2426,3454,4621,3328,1780,1449,2579,2744,2815,4262
